,Adj_Close,atr,bullish,gap,r2,rank_score,slope
AAOI,33.21,1.726640000000001,False,True,0.14430549927069847,0.09294465149460451,0.6440825329896289
AAON,39.3,1.012915,True,False,0.8986676479279778,2.216635729668062,2.466580091960438
AAT,36.84,0.6131996568501915,False,False,0.542719810566952,0.6956013545464124,1.2816951601964792
AAWW,62.35,1.5956999999999995,False,False,0.6199833594315178,0.3751988554761787,0.6051756870058743
AAXN,63.62,2.32977,False,False,0.16430366977599353,0.20531950282343278,1.2496343088584627
ABCB,47.34548458149779,1.0076306497797334,False,False,0.8342969903465058,0.4707657818981022,0.5642664271179746
ABG,71.2,1.3797500000000007,False,False,0.10819043253926175,0.12090381809227006,1.11750933289221
ABM,33.2,0.8362450000000008,True,False,0.6533801094904694,0.9648844727817281,1.4767582587327024
ACET,2.92,0.16524262295081973,False,False,0.022205011124724394,0.01918798133394215,0.8641284269647179
ACLS,20.25,0.6677499999999998,False,False,0.21130212728688358,0.17065299226063751,0.8076255286769689
ACOR,18.75,1.4252550000000004,False,False,0.17407306818342694,0.0923876269717713,0.53074049843494
ADC,52.176494845360835,0.9515925773195892,False,False,0.5874875532972716,0.7387422859486193,1.2574603186100388
ADTN,18.25,0.45375000000000015,True,False,0.8255514857875943,1.5968076799244444,1.9342314893916697
AEGN,24.57,0.502145,False,False,0.6735526587129772,0.5410206428352294,0.8032343660687353
AEIS,54.0,1.6917150000000003,False,False,0.6794040520759812,0.4176788405994781,0.6147723719386456
AEL,36.07,0.6175599999999999,True,False,0.2447086360684828,0.30263554293612516,1.2367178690474627
AGYS,16.23,0.43095000000000017,True,False,0.46490945153963914,0.738841377771386,1.5892156533375852
AHH,14.282724795640329,0.27100681198910037,False,False,0.5463790984183758,0.7285111466942835,1.3333437329559863
AIN,77.95,1.378803807947019,True,False,0.8043553541036643,2.0406957911945796,2.5370575092008116
AIR,44.99,1.12135,False,False,0.11931127799914774,0.10768126971953042,0.902523814389949
AIT,78.95,1.3874999999999993,True,False,0.6998146063639946,0.9776883981713719,1.397067722337374
AJRD,33.06,0.9374850000000006,True,False,0.6708469286287592,1.3869077735338649,2.0673982608353976
AKR,27.49902421395013,0.46318576075171763,True,False,0.6063285293929488,0.8523734597747837,1.4057947440279168
AKS,4.65,0.16548500000000005,True,False,0.0798333703630385,0.06901472866951605,0.8644847180530498
ALG,94.3,1.6400000000000012,False,False,0.03595864920792602,0.03807658919436895,1.0588993199993757
ALGT,126.8,3.537450000000001,False,False,0.6649902627363642,0.3792867232503065,0.5703643263731141
ALRM,56.66,1.9926849999999998,True,False,0.6537825796945879,1.7537118943140233,2.6824084164696824
AMAG,20.55,0.8449500000000004,False,False,7.262828888399131e-05,7.21896187531853e-05,0.9939600651819471
AMBC,21.04,0.3752949999999995,True,False,0.6691635752192958,0.9587399419117703,1.4327437676170218
AMED,121.51,3.508585000000001,True,False,0.9463783938739802,4.954216609111705,5.2349215083321194
AMN,52.7,1.5324999999999989,False,False,0.1728080695925408,0.14110688601610963,0.8165526433390612
AMPH,19.38,0.40678000000000003,True,False,0.7326471851421332,1.2195058865230808,1.6645199916880828
AMSF,62.55,1.101212074062549,True,False,0.6417934114189181,0.8291011560518922,1.2918505258863004
AMWD,82.95,3.172364999999999,False,False,0.5056420552143694,0.30765879122035955,0.6084517457511047
ANDE,38.45,0.696765000000001,True,False,0.7903917864324448,1.5518834491311753,1.9634356983083547
ANF,20.89,1.120250746859004,False,False,0.2042310016570852,0.1330556411727907,0.6514958066758065
ANGO,23.46,0.54475,True,False,0.4139343519958987,0.5537007679715997,1.3376535803365406
ANIK,42.38,0.9561449999999997,True,True,0.058748937968416515,0.07568513765191527,1.2882809505867778
ANIP,53.56,1.6072499999999994,False,True,0.4618596934071779,0.2477749775606367,0.5364723986472597
APEI,31.3,0.8482049999999999,False,False,0.5767824822062999,0.236489639350548,0.4100152945802572
APOG,42.5,1.2400399999999987,False,False,0.27084871993510007,0.37106417772987327,1.3700052849383468
ARCB,47.35,1.642675,True,False,0.011472971619322259,0.011868140521404108,1.0344434654938328
ARI,18.87952380952381,0.15352547619047688,True,False,0.8982615906884938,1.126448784018443,1.2540320054818883
AROC,11.65,0.3749999999999999,False,False,0.23907178593331815,0.2988291355526204,1.2499556749702359
ARR,22.73,0.2365104259896727,False,False,0.6405784247999062,0.7553467419874496,1.1791635695869602
ASGN,79.06,1.9791799999999995,False,False,0.27559799335679114,0.37208582057779804,1.3501035187004902
ASIX,35.14,0.8634700000000006,False,False,0.5370028751784868,0.3362519154045183,0.6261640876555015
ASNA,4.01,0.2481799999999999,True,False,0.35281799111041423,0.7257024032299183,2.056874710232138
ASRT,6.14,0.2827500000000002,False,True,0.020021902036855277,0.017035716805306897,0.8508540684071091
ASTE,51.12,1.1072499999999994,False,False,0.5424272743872876,0.2467062235430171,0.4548189871567398
ATNI,72.09236626637555,1.5757110569050248,True,False,0.8384047596605466,2.952681343345468,3.5217850439457785
ATU,29.50754310344828,0.49803340517241423,True,False,0.6493146541430231,1.109502081805208,1.708727925245347
AVA,50.44,0.371809618457365,False,False,0.24383611627228854,0.2247333373465664,0.9216573032011782
AVAV,106.98,4.875739999999999,True,False,0.9227924348560169,6.270139854507575,6.794745619567095
AVD,19.65,0.5203249999999997,False,False,0.5518473139870612,0.36432931387985906,0.6601994875133183
AVP,2.33,0.1345,True,False,0.31939264373331333,0.6645887400490476,2.080789126138942
AWR,59.59,0.9159450000000003,True,False,0.7448319689701779,1.0057377566287702,1.350288116686676
AXE,71.5,1.4583450000000007,True,False,0.7145580973855776,1.1517151133439638,1.6117865259072068
AXL,18.36,0.5522499999999999,True,False,0.39663216742040586,0.5414813613148531,1.365197797335777
AZZ,52.05,1.0190300000000003,True,False,0.6603228799124403,1.4329625488745115,2.1700937412081256
B,71.46,1.0504599999999997,True,False,0.8273121416717447,1.4770876610854895,1.7854055158682276
BABY,34.9,0.9989149999999991,False,False,0.0012497112869388483,0.0012663774771613017,1.0133360324073548
BANC,19.25,0.38753597477666907,False,False,0.11617134628729865,0.12391646441433687,1.066669780238959
BANR,64.11,0.9520299999999977,True,False,0.8233868547402443,1.172711742435625,1.4242536611852796
BCC,38.55,1.4298856830844673,False,False,0.3872914259008569,0.2997342337201618,0.7739242691029546
BCEI,29.5,0.9874000000000006,False,False,0.40150443176251305,0.2399771334060561,0.5976948557021179
BCOR,35.95,0.9648049999999998,False,False,0.42924613091110136,0.3285473301283895,0.7654054549799378
BCPC,114.97,2.524314999999999,True,False,0.7251311681242187,1.1401940468242546,1.5723969633986736
BEAT,61.35,2.2721199999999993,True,False,0.9596312446411662,3.3947165664155152,3.5375219235227147
BEL,16.9,0.33720000000000017,True,True,0.583601698672356,2.073706253317045,3.5532902971916456
BELFB,25.35,1.3373399999999998,True,False,0.8693852649658158,2.5787762910698264,2.9662065772085793
BFS,54.07,1.444105,True,False,0.730753116693041,1.2481382513048016,1.7080163228767897
BGFV,5.05,0.2152307692307692,False,False,0.880343688910139,0.1806005849299356,0.20514781579625818
BGG,20.23,0.4224629209621972,True,False,0.24606887019335702,0.3384947109098963,1.3756096439338812
BGS,29.05270150575731,0.8589718777679376,False,False,0.4645868505043137,0.6632887736994817,1.4276959689657058
BHE,25.339958158995813,0.5390951882845192,False,False,0.4308028757219996,0.27646281290213665,0.6417385502332167
BHLB,41.65,0.6975000000000009,True,False,0.3535759195522453,0.4130278365972208,1.16814470035251
BJRI,69.35,2.128250000000002,True,True,0.885397893545278,2.2624054947100296,2.5552415599849554
BKE,22.8,1.042195,False,False,0.20853587871343282,0.15897914299405178,0.7623587076472282
BKS,5.55,0.3476050000000001,False,False,0.02782685716557276,0.024870945999980087,0.8937748827327252
BLD,61.51,1.9548499999999986,False,False,0.8355593274442665,0.3213406848459706,0.3845815303490879
BMI,54.05,0.979332950367646,True,False,0.8931175213292393,2.0440983056191917,2.2887226560922596
BNED,5.57,0.29242,False,False,0.28077182495901476,0.18553299460030243,0.6607963410409335
BOFI,35.48,0.8785000000000011,False,False,0.7798614427249884,0.44916222435792147,0.5759513161574713
