,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
ENDP,16.29,0.58969,True,False,0.9289135656097318,20.187254272406356,21.732112674181472,33.91612542183181,33,537.5699999999999,537.5699999999999,0.026878499999999996,0.026878499999999996
VSI,11.1,0.8015549999999998,True,False,0.8537300777750532,15.045365526287641,17.623094134738803,24.95150052086258,24,266.4,803.9699999999999,0.013319999999999999,0.0401985
CORE,33.29,1.1855000000000004,True,False,0.9153648766404161,7.522003854289642,8.217492331470044,16.870518768452122,16,532.64,1336.61,0.026632,0.0668305
FOXF,71.0,2.033399999999997,True,False,0.9495321023410077,6.348493606878627,6.685917823343562,9.835743090390492,9,639.0,1975.61,0.03195,0.0987805
AVAV,106.98,4.875739999999999,True,False,0.9227924348560169,6.270139854507575,6.794745619567095,4.10194144888776,4,427.92,2403.5299999999997,0.021396000000000002,0.12017649999999999
LXU,9.89,0.37725,True,False,0.8529059670837191,5.236303878618628,6.139368325118829,53.01524188204109,53,524.1700000000001,2927.7,0.026208500000000003,0.146385
AMED,121.51,3.508585000000001,True,False,0.9463783938739802,4.954216609111705,5.2349215083321194,5.700303683678746,5,607.5500000000001,3535.25,0.0303775,0.1767625
SRDX,74.0,2.40009,True,False,0.9313689559372084,3.9891027221782456,4.283053130286195,8.333020845051644,8,592.0,4127.25,0.0296,0.2063625
HMSY,32.27,0.6779999999999997,True,False,0.8798237998772438,3.960174457716628,4.501099490908482,29.498525073746325,29,935.83,5063.08,0.0467915,0.253154
MRCY,52.74,1.5581999999999998,True,False,0.9084215029479298,3.8976843141368844,4.290612123874722,12.835322808368632,12,632.88,5695.96,0.031644,0.284798
OMCL,70.1,1.79625,True,False,0.9542492430781433,3.5393797732651415,3.709072654695627,11.134307585247043,11,771.0999999999999,6467.0599999999995,0.03855499999999999,0.323353
BEAT,61.35,2.2721199999999993,True,False,0.9596312446411662,3.3947165664155152,3.5375219235227147,8.802351988451317,8,490.8,6957.86,0.02454,0.347893
INGN,252.96,9.524350000000007,True,False,0.9053081919671319,3.330366443402256,3.6787101596482277,2.0998808317627957,2,505.92,7463.78,0.025296000000000003,0.373189
TRHC,80.41,4.251464999999999,True,False,0.808012294289211,3.293487671766202,4.076036583902977,4.704260766582815,4,321.64,7785.42,0.016082,0.389271
EPAY,70.95,1.8253749999999997,True,False,0.9577207888839505,3.164589841593449,3.3042927315811985,10.95665274258714,10,709.5,8494.92,0.035475,0.42474599999999996
REGI,27.35,1.0805499999999992,True,False,0.6897872970955774,3.148565217963381,4.564545086899613,18.509092591735705,18,492.3,8987.22,0.024615,0.44936099999999995
TREX,79.58,2.5882349999999987,True,False,0.893007631156303,3.10388054515123,3.47576038194903,7.727273605372004,7,557.06,9544.279999999999,0.027852999999999996,0.47721399999999997
CBM,63.0,1.8694599999999988,True,False,0.8630894154188717,2.9701957310812634,3.4413534426670935,10.698276507654624,10,630.0,10174.279999999999,0.0315,0.508714
COKE,177.99,4.70699,True,False,0.8923396039891717,2.9534713688372127,3.309806440993795,4.248999891650502,4,711.96,10886.239999999998,0.035598000000000005,0.544312
ATNI,72.09236626637555,1.5757110569050248,True,False,0.8384047596605466,2.952681343345468,3.5217850439457785,12.692682400340287,12,865.1083951965065,11751.348395196504,0.043255419759825324,0.5875674197598253
CTRL,33.93,1.2770500000000016,True,False,0.7674790144572772,2.8477004692608237,3.71046037170746,15.66109392741081,15,508.95,12260.298395196505,0.025447499999999998,0.6130149197598252
THRM,46.7,1.2724999999999997,True,False,0.9278250146290067,2.762878148024212,2.9778008832074403,15.717092337917489,15,700.5,12960.798395196505,0.035025,0.6480399197598252
LGND,268.34,8.326955,True,False,0.9408519244385765,2.7454308243963546,2.9180264748191944,2.401838367086168,2,536.68,13497.478395196506,0.026833999999999997,0.6748739197598252
IRDM,20.1,0.77225,True,False,0.7975309297166007,2.739889576407009,3.4354649761114815,25.89834898025251,25,502.50000000000006,13999.978395196506,0.025125,0.6999989197598252
BELFB,25.35,1.3373399999999998,True,False,0.8693852649658158,2.5787762910698264,2.9662065772085793,14.955060044566082,14,354.90000000000003,14354.878395196505,0.017745,0.7177439197598252
UEIC,40.25,1.425009999999998,True,False,0.7838442084765084,2.52972660882787,3.2273334183902254,14.034989228145788,14,563.5,14918.378395196505,0.028175,0.7459189197598252
JBT,119.1,2.8918049999999993,True,False,0.8707015087246797,2.499482477403749,2.8706536653011567,6.916095656519027,6,714.5999999999999,15632.978395196506,0.03573,0.7816489197598252
SPSC,95.75,2.1727149999999993,True,False,0.8624665752137212,2.4440757932330097,2.8338208847425332,9.205072915683836,9,861.75,16494.728395196507,0.0430875,0.8247364197598253
HLIT,5.5,0.19124999999999986,True,False,0.8543923586586047,2.3700108896765553,2.773913958450507,104.57516339869288,104,572.0,17066.728395196507,0.0286,0.8533364197598252
USPH,118.1,3.498294999999998,True,False,0.9088733996842692,2.3081820520594114,2.5396078847298686,5.717070744462663,5,590.5,17657.228395196507,0.029525,0.8828614197598252
NMIH,22.75,0.81828,True,False,0.7933686614543614,2.2972906096444423,2.8956155205742196,24.441511463068878,24,546.0,18203.228395196507,0.0273,0.9101614197598252
HF,43.98,0.9665200000000009,True,False,0.7762263394811281,2.292375924673937,2.9532313039084523,20.69279476886146,20,879.5999999999999,19082.828395196506,0.04398,0.9541414197598252
MCS,40.7,0.8124999999999997,True,False,0.8876393892168856,2.288807337558071,2.5785328652183375,24.615384615384624,24,976.8000000000001,20059.628395196505,0.04884,1.0029814197598252
UVE,47.9,1.1077500000000005,True,False,0.8289426026087438,2.2864559898221346,2.758280226672496,18.054615211013306,18,862.1999999999999,20921.828395196506,0.043109999999999996,1.0460914197598252
EHTH,27.91,1.2309749999999995,True,False,0.8115906182742205,2.282761363027108,2.8127005310647983,16.24728365726356,16,446.56,21368.388395196507,0.022328,1.0684194197598251
TTEK,69.1,1.3945700000000003,True,False,0.9134355362621549,2.2329520038542325,2.444564411180712,14.34133819026653,14,967.3999999999999,22335.78839519651,0.048369999999999996,1.1167894197598252
AAON,39.3,1.012915,True,False,0.8986676479279778,2.216635729668062,2.466580091960438,19.74499341010845,19,746.6999999999999,23082.48839519651,0.03733499999999999,1.154124419759825
STRA,137.48,3.0581102479278734,True,False,0.943702121884122,2.192275941946557,2.323059248367091,6.539986586013922,6,824.8799999999999,23907.36839519651,0.041243999999999996,1.195368419759825
NGVT,102.33,2.1282500000000013,True,False,0.8707002202243258,2.139356401886475,2.457052786015484,9.39739222365793,9,920.97,24828.33839519651,0.0460485,1.241416919759825
WDFC,173.0,3.550679999999997,True,False,0.941729488624626,2.1079462522578924,2.238377663352667,5.632723872610321,5,865.0,25693.33839519651,0.04325,1.284666919759825
CRY,35.35,0.828384999999999,True,False,0.921983034360282,2.1079351754902222,2.2863058179295166,24.143363291223313,24,848.4000000000001,26541.738395196513,0.042420000000000006,1.327086919759825
RGEN,55.07,1.3434500000000003,True,False,0.9096262910252013,2.1049321966185963,2.3140626182277737,14.887044549480812,14,770.98,27312.718395196513,0.038549,1.365635919759825
MNRO,70.15,1.7624899999999983,True,False,0.8806035471929514,2.0598088420441125,2.339087604870597,11.347582113941083,11,771.6500000000001,28084.368395196514,0.038582500000000006,1.4042184197598249
FN,45.95,1.2237500000000001,True,False,0.8440577879230733,2.0441771096669537,2.421844971891022,16.343207354443308,16,735.2,28819.568395196515,0.03676,1.4409784197598248
BMI,54.05,0.979332950367646,True,False,0.8931175213292393,2.0440983056191917,2.2887226560922596,20.42206380627948,20,1081.0,29900.568395196515,0.05405,1.4950284197598247
AIN,77.95,1.378803807947019,True,False,0.8043553541036643,2.0406957911945796,2.5370575092008116,14.50532692521292,14,1091.3,30991.868395196514,0.054564999999999995,1.5495934197598247
LPSN,25.75,0.8237499999999999,True,False,0.8241403909876308,2.030589349014769,2.463887671591193,24.27921092564492,24,618.0,31609.868395196514,0.0309,1.5804934197598246
NSP,116.95,2.915506808688388,True,False,0.8587408247071314,2.0236554692323256,2.356538097420117,6.859870791726084,6,701.7,32311.568395196515,0.035085000000000005,1.6155784197598246
ECOL,75.7,1.7379300000000022,True,False,0.963869424031194,2.0222780271340755,2.0980829733931134,11.507943357902779,11,832.7,33144.268395196515,0.041635000000000005,1.6572134197598247
LHCG,100.8,2.406690000000001,True,False,0.9033133320667055,2.0041900491675575,2.218709696869123,8.310168737976221,8,806.4,33950.66839519652,0.04032,1.6975334197598246
TCMD,65.41,2.651475,True,False,0.7340973405081436,1.9932041669595548,2.71517693495505,7.542971364994956,7,457.87,34408.53839519652,0.0228935,1.7204269197598245
IPAR,64.33954354913834,1.4066488122962266,True,False,0.8876353102736212,1.9374767584509474,2.1827396184292214,14.21818994561394,14,900.7536096879368,35309.29200488445,0.04503768048439684,1.7654646002442214
SCL,88.72,1.5386130494737429,True,False,0.9157611618049084,1.894734121015235,2.0690265104504233,12.998719858018017,12,1064.6399999999999,36373.93200488445,0.053231999999999995,1.8186966002442213
MYGN,46.93,1.5286250000000006,True,False,0.8062417230422616,1.8932175196218715,2.3482008751395673,13.083653610270662,13,610.09,36984.02200488445,0.0305045,1.8492011002442212
WING,66.99,1.90611504847852,True,False,0.7320840705672962,1.8632974167615215,2.5451959572315808,10.492546090522813,10,669.9,37653.92200488445,0.033495,1.8826961002442213
MANT,62.18,1.639907317618976,True,False,0.8720494500971425,1.787952028770464,2.050287433323069,12.195811180987057,12,746.16,38400.082004884454,0.037308,1.9200041002442212
UHT,70.84,1.64956346637006,True,False,0.8798812698357351,1.7633528131638705,2.004080406772462,12.124419828484028,12,850.08,39250.162004884456,0.042504,1.9625081002442213
DORM,78.42,2.1555499999999994,True,False,0.9117276835098046,1.7552692613077556,1.925212202124473,9.278374428800078,9,705.78,39955.942004884455,0.035289,1.9977971002442212
ALRM,56.66,1.9926849999999998,True,False,0.6537825796945879,1.7537118943140233,2.6824084164696824,10.03670926413357,10,566.5999999999999,40522.54200488445,0.028329999999999994,2.026127100244221
PRA,46.54039650394373,0.7860211042421639,True,False,0.6954682953211458,1.7134956809867758,2.463801286866048,25.444609428499817,25,1163.5099125985932,41686.05191748305,0.058175495629929665,2.084302595874151
ESE,67.15,0.9474999999999987,True,False,0.8944555370180098,1.69675677938507,1.8969716315266165,21.108179419525097,21,1410.15,43096.20191748305,0.0705075,2.154810095874151
VG,13.86,0.3530000000000001,True,False,0.8423513146213565,1.689881319869549,2.0061478987887185,56.65722379603398,56,776.16,43872.36191748305,0.038807999999999995,2.193618095874151
ECHO,33.15,1.2216800000000003,True,False,0.8328029558968264,1.6703565196857042,2.0057043600270794,16.370899089778007,16,530.4,44402.761917483054,0.02652,2.2201380958741512
CVCO,248.85,6.678620000000002,True,False,0.7616311848641604,1.6611242156823602,2.181008667572649,2.9946306272852765,2,497.7,44900.46191748305,0.024885,2.245023095874151
ITGR,83.4,1.5327500000000014,True,False,0.8147906733140622,1.6542437376770094,2.0302683767213163,13.048442342195388,13,1084.2,45984.66191748305,0.05421,2.299233095874151
HWKN,41.7,1.0018149999999995,True,False,0.8060768719695309,1.647251792460122,2.0435418131217475,19.963765765136287,19,792.3000000000001,46776.96191748305,0.039615000000000004,2.338848095874151
DFIN,20.8,0.40899,True,False,0.7473109792751833,1.6468319317114815,2.2036768860384512,48.90095112349935,48,998.4000000000001,47775.36191748305,0.049920000000000006,2.388768095874151
FIX,54.65,1.030505000000001,True,False,0.783036431155169,1.6380143716847695,2.0918750475866115,19.407960174865703,19,1038.35,48813.71191748305,0.0519175,2.440685595874151
ADTN,18.25,0.45375000000000015,True,False,0.8255514857875943,1.5968076799244444,1.9342314893916697,44.07713498622588,44,803.0,49616.71191748305,0.04015,2.4808355958741513
PRLB,157.3,4.210374999999996,True,False,0.7205877681864277,1.591542341923546,2.2086724368485093,4.750170709259868,4,629.2,50245.91191748305,0.03146,2.5122955958741513
KWR,198.53,4.388895,True,False,0.8281520022633917,1.5748813579895595,1.9016815194376266,4.556955680188294,4,794.12,51040.03191748305,0.039706,2.552001595874151
GDOT,86.49,2.1116850000000023,True,False,0.8712370463856216,1.5566387016472105,1.7866993926681816,9.471109564163205,9,778.41,51818.441917483055,0.0389205,2.5909220958741512
ANDE,38.282229274097595,0.6937247719159046,True,False,0.7903917864324447,1.551883449131175,1.9634356983083547,28.82987722171821,28,1071.9024196747328,52890.34433715779,0.05359512098373664,2.6445172168578877
WSR,13.53,0.22618183472879477,True,False,0.939761741980317,1.5512903811162215,1.650727319296121,88.42443083009371,88,1190.6399999999999,54080.98433715779,0.059531999999999995,2.7040492168578876
RLI,78.19,1.0086263249869583,True,False,0.8623823879883298,1.5495525453239176,1.7968276798167717,19.828949041418888,19,1485.61,55566.59433715779,0.0742805,2.7783297168578875
FCN,72.56,1.518995000000001,True,False,0.6986472406649652,1.5479431004270343,2.2156290189505623,13.166600285056887,13,943.28,56509.87433715779,0.047164,2.8254937168578875
FARO,64.95,1.4702499999999987,True,False,0.7204030696512791,1.5467584356774577,2.1470736325793105,13.603128719605522,13,844.35,57354.224337157786,0.0422175,2.8677112168578875
EBS,66.45,2.0484750000000007,True,False,0.7962797374900574,1.5209703628886135,1.9100955245738684,9.76336054870086,9,598.0500000000001,57952.27433715779,0.029902500000000002,2.8976137168578875
GBX,59.75,1.194749999999999,True,False,0.7843774421731828,1.5194972632312242,1.937201634740197,16.739903745553477,16,956.0,58908.27433715779,0.0478,2.9454137168578876
CACI,188.4,3.3901549999999974,True,False,0.879961385495857,1.5142482264421269,1.7208121303968924,5.899435276558156,5,942.0,59850.27433715779,0.0471,2.9925137168578875
NEOG,88.68,2.658999999999999,True,False,0.8449737396056441,1.5115606855195007,1.788884807502962,7.521624670928924,7,620.76,60471.03433715779,0.031038,3.0235517168578876
FCPT,24.9883870967742,0.3624948387096783,True,False,0.8327479748109063,1.509614083213736,1.8128102725876059,55.173199351447806,55,1374.361290322581,61845.39562748037,0.06871806451612905,3.0922697813740165
B,71.46,1.0504599999999997,True,False,0.8273121416717447,1.4770876610854895,1.7854055158682276,19.039278030577087,19,1357.7399999999998,63203.13562748037,0.06788699999999999,3.1601567813740163
SSTK,53.13,1.587890000000001,True,False,0.7829024113291192,1.4463005378311622,1.8473573677922437,12.595330910831347,12,637.5600000000001,63840.69562748037,0.031878000000000004,3.192034781374016
LOCO,12.5,0.4875050000000001,True,False,0.7910982368590972,1.4458706089938056,1.8276751756322398,41.025220254151236,41,512.5,64353.19562748037,0.025625,3.217659781374016
