,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
TRHC,77.83,3.773968946830675,True,False,0.8128297418355274,3.3777665708341624,4.155564685916278,5.2994606690645165,5,389.15,7589.51,0.0194575,0.3794755
INGN,254.7,8.904684099401086,True,False,0.9024595981466428,3.3014730422093757,3.6583056449169833,2.246008929316781,2,509.4,8098.91,0.02547,0.4049455
TREX,79.65,2.5891927512178783,True,False,0.9024306639701795,3.2083719574829646,3.5552559166905526,7.724415260545049,7,557.5500000000001,8656.46,0.027877500000000003,0.432823
EPAY,70.59,1.8098238899182977,True,False,0.9577799627747198,3.147959864495111,3.286725539105421,11.050798981829594,11,776.49,9432.949999999999,0.0388245,0.4716475
REGI,27.3,0.9890236944979215,True,False,0.6859456002633003,3.0868849140258177,4.500189100769677,20.221962437566283,20,546.0,9978.949999999999,0.0273,0.4989475
CBM,61.2,1.8020953132823911,True,False,0.8674456062942651,3.0049379823078035,3.4641226614138074,11.098192117025926,11,673.2,10652.15,0.03366,0.5326075
ATNI,72.23204148471616,1.7819489000071507,True,False,0.8389070411856917,2.957364142153793,3.5252584576879022,11.223666402510052,11,794.5524563318778,11446.702456331877,0.03972762281659389,0.5723351228165939
COKE,181.22,4.6447130003455905,True,False,0.889684216326964,2.9266966297427572,3.2895903692947828,4.305971111350022,4,724.88,12171.582456331877,0.036244,0.608579122816594
IRDM,20.05,0.7227718969504392,True,False,0.800417942441434,2.901124374077666,3.62451192089555,27.6712474355812,27,541.35,12712.932456331877,0.0270675,0.635646622816594
THRM,48.85,1.2423616876708174,True,False,0.9352063240937183,2.8197703673506385,3.0151318427868814,16.09837151167793,16,781.6,13494.532456331877,0.039080000000000004,0.674726622816594
CTRL,34.48,1.2129017695616966,True,False,0.7640364904304683,2.8167230648952204,3.6866342120757105,16.489381499729653,16,551.68,14046.212456331878,0.027583999999999997,0.7023106228165941
LGND,259.84,8.311720952359629,True,False,0.9376822023968236,2.7114537596069685,2.8916553526089976,2.406240550499011,2,519.68,14565.892456331878,0.025983999999999997,0.7282946228165941
BELFB,24.85,1.1929104312806111,True,False,0.8784813603620645,2.638775957134197,3.003792768063548,16.76571809211999,16,397.6,14963.492456331878,0.019880000000000002,0.7481746228165941
UEIC,40.1,1.364296414082294,True,False,0.7893954023860444,2.569173909702225,3.2546096695478357,14.65957089204341,14,561.4,15524.892456331878,0.028069999999999998,0.7762446228165941
JBT,117.45,2.9188884002852684,True,False,0.8693084376318254,2.4880331513009972,2.8620832878131384,6.851923491848939,6,704.7,16229.592456331879,0.035235,0.8114796228165941
SPSC,96.08,2.2476739530381638,True,False,0.864580720081728,2.4598414127892703,2.8451263782018454,8.898087719958738,8,768.64,16998.23245633188,0.038432,0.8499116228165942
HLIT,5.4,0.18906963450594425,True,False,0.8553805410421688,2.380854743967887,2.783386609504968,105.78113218583077,105,567.0,17565.23245633188,0.02835,0.8782616228165941
EHTH,27.62,1.2287915938765959,True,False,0.8180363363133925,2.362273975601301,2.887737219898147,16.27615301053935,16,441.92,18007.152456331878,0.022096,0.9003576228165941
USPH,116.9,3.371249222761321,True,False,0.9131372008390902,2.334888686611281,2.5569965657578404,5.932518979898617,5,584.5,18591.652456331878,0.029225,0.9295826228165942
HF,44.12,1.057451129587524,True,False,0.7795455223422406,2.3133708459764644,2.967589165319886,18.913403598898537,18,794.16,19385.812456331878,0.039708,0.9692906228165942
AAON,39.85,0.9717773968322898,True,False,0.908019720901315,2.2865889932904784,2.518215123148177,20.580845021909496,20,797.0,20182.812456331878,0.03985,1.0091406228165942
NMIH,22.8,0.7616938517942621,True,False,0.7903418127142257,2.276334243040084,2.880189566616246,26.25726852447027,26,592.8000000000001,20775.612456331877,0.029640000000000003,1.0387806228165943
TTEK,69.0,1.3762068971010508,True,False,0.9189927422695553,2.2749214998214096,2.4754509967110696,14.532698565985648,14,966.0,21741.612456331877,0.0483,1.0870806228165943
MCS,40.8,0.8911212059959308,True,False,0.8841500297666874,2.2678311555901027,2.5649845379618954,22.443636023281133,22,897.5999999999999,22639.212456331876,0.044879999999999996,1.1319606228165944
UVE,47.7,1.0980973917054295,True,False,0.8238120459289837,2.247695354555539,2.728407973229977,18.213320741012293,18,858.6,23497.812456331874,0.04293,1.1748906228165943
STRA,136.87,3.316133132084917,True,False,0.9444430059245079,2.2139432099608336,2.344178733997423,6.031120948218871,6,821.22,24319.032456331875,0.041061,1.2159516228165943
WDFC,172.2,3.32154251598334,True,False,0.9468201595669361,2.1521001029256883,2.27297663783377,6.021298810344752,6,1033.1999999999998,25352.232456331876,0.05165999999999999,1.2676116228165943
RGEN,55.24,1.2818860897713278,True,False,0.911369284369909,2.117827333632599,2.3237861643502673,15.602010318692004,15,828.6,26180.832456331875,0.04143,1.3090416228165944
CRY,34.6,0.8910939366833881,True,False,0.9220487092697992,2.109477650789258,2.287815849186344,22.444322844838457,22,761.2,26942.032456331875,0.038060000000000004,1.3471016228165944
NGVT,104.93,2.121924772653444,True,False,0.8645805108195032,2.1088976655737066,2.439214901541977,9.42540482949837,9,944.3700000000001,27886.402456331874,0.047218500000000004,1.3943201228165945
LPSN,25.7,0.8179858624608158,True,False,0.8308129315497785,2.0939073287152694,2.5203114313704105,24.45030032650236,24,616.8,28503.202456331874,0.03084,1.4251601228165944
MNRO,72.0,1.7654091881571297,True,False,0.8864825369421119,2.089596965322308,2.357177810326974,11.32881834657128,11,792.0,29295.202456331874,0.0396,1.4647601228165945
BMI,54.25,1.0084052245530764,True,False,0.8981355802914951,2.0725619440738687,2.307627032659375,19.833296687711996,19,1030.75,30325.952456331874,0.0515375,1.5162976228165945
AIN,78.2,1.477908208538732,True,False,0.803679919692238,2.0366668915802966,2.5341766562491945,13.532640176465907,13,1016.6,31342.552456331872,0.05083,1.5671276228165945
NSP,115.0,2.7988686040626947,True,False,0.8597307061867419,2.0300922228409193,2.361311755218341,7.145744523686829,7,805.0,32147.552456331872,0.04025,1.6073776228165944
ECOL,76.55,1.7246797770604219,True,False,0.9639954311257148,2.0238331768839872,2.099421959418041,11.596355605263948,11,842.05,32989.60245633187,0.0421025,1.6494801228165943
TCMD,63.91,2.6859363543294394,True,False,0.7377730239105612,2.0222261500851078,2.7409868408664644,7.446192821271494,7,447.37,33436.972456331874,0.0223685,1.6718486228165943
LHCG,98.5,2.2845801355714803,True,False,0.9042003306672208,2.0166835278295836,2.2303503542643557,8.754343823880385,8,788.0,34224.972456331874,0.0394,1.7112486228165944
FN,45.52,1.1677192211629057,True,False,0.8382369789055704,2.0154500791126777,2.4043917529671806,17.127404976756694,17,773.84,34998.81245633187,0.038692000000000004,1.7499406228165943
IPAR,64.43921751280858,1.4272414419266795,True,False,0.8912828020141061,1.9608709904168555,2.200054781698594,14.013046014836391,14,902.1490451793202,35900.96150151119,0.04510745225896601,1.7950480750755604
SCL,89.52,1.5914403639484198,True,False,0.9212566341975053,1.9321078011712391,2.097252523835851,12.567231831659273,12,1074.24,36975.20150151119,0.053712,1.8487600750755604
MYGN,46.27,1.517018242555661,True,False,0.8115903110144913,1.9298666616804276,2.3778828252250648,13.183757082780222,13,601.51,37576.71150151119,0.030075499999999998,1.8788355750755603
MANT,62.36,1.595386355464371,True,False,0.8852784916432026,1.8395416998005685,2.0779243110110106,12.536148332658001,12,748.3199999999999,38325.03150151119,0.037416,1.9162515750755602
UHT,72.52,1.6227088050609566,True,False,0.8912126429249172,1.817351508716104,2.0391895504889197,12.325070239110895,12,870.24,39195.27150151119,0.043512,1.9597635750755602
WING,66.35,1.9405252814767782,True,False,0.721837308520137,1.8094996495600921,2.5067970693698394,10.306487728301898,10,663.5,39858.77150151119,0.033175,1.9929385750755602
DORM,79.5,2.067621929218924,True,False,0.9187076484311338,1.7830850346615474,1.940862294666318,9.672948287772952,9,715.5,40574.27150151119,0.035775,2.0287135750755603
VG,13.59,0.359747210648772,True,False,0.853666543303292,1.7385515368285342,2.0365698415462665,55.59459367018241,55,747.45,41321.72150151119,0.0373725,2.0660860750755603
ALRM,56.61,1.9063482137551282,True,False,0.6493739882135283,1.7272648455384962,2.659892260683737,10.491262748164965,10,566.1,41887.821501511185,0.028305,2.0943910750755603
ECHO,35.6,1.0607113185408437,True,False,0.8448918309886261,1.7196069698059284,2.035298373986856,18.8552715997344,18,640.8000000000001,42528.62150151119,0.032040000000000006,2.12643107507556
ESE,67.8,1.0564042228615491,True,False,0.8982847461083034,1.712650897992757,1.9065790724072564,18.93214696342725,18,1220.3999999999999,43749.02150151119,0.06101999999999999,2.1874510750755602
CVCO,247.85,7.11592876509709,True,False,0.7612293521149839,1.6990359492518707,2.231963263806505,2.8105958702253986,2,495.7,44244.72150151119,0.024784999999999998,2.2122360750755603
