,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
ENDP,16.15,0.6018071042442268,True,False,0.9178738409795733,18.094392211270115,19.713376069155014,33.23324011788926,33,532.9499999999999,532.9499999999999,0.026647499999999998,0.026647499999999998
VSI,10.35,0.7849778356064524,True,False,0.828104181123843,13.017596893947987,15.719757478197305,25.4784263870948,25,258.75,791.6999999999999,0.0129375,0.039584999999999995
CORE,33.57,1.182683902000834,True,False,0.9072241294639327,7.205440089509964,7.942293260836843,16.91068929420999,16,537.12,1328.82,0.026856,0.066441
AVAV,108.85,4.107985757392741,True,False,0.9258153580977816,6.464439502554256,6.982428457264264,4.868566051868109,4,435.4,1764.2199999999998,0.021769999999999998,0.088211
FOXF,69.85,1.9031072238982585,True,False,0.9450852738261538,6.141281718096164,6.4981244424996065,10.509129359003062,10,698.5,2462.72,0.034925,0.123136
LXU,9.46,0.35437557010665566,True,False,0.8695935966302439,5.709200272457135,6.565366045220224,56.437298976282825,56,529.76,2992.4799999999996,0.026488,0.149624
AMED,122.1,3.3689509472112023,True,False,0.9410703562905351,4.818474604318296,5.1202065521556985,5.936566104221815,5,610.5,3602.9799999999996,0.030525,0.180149
HMSY,32.43,0.7088567254279431,True,False,0.8812977475293349,3.982457827451178,4.518856241963353,28.214446280277333,28,908.04,4511.0199999999995,0.045402,0.225551
MRCY,54.84,1.5830449335644854,True,False,0.9097292580829184,3.9182118917978244,4.307008768800854,12.63388017355055,12,658.08,5169.099999999999,0.032904,0.258455
SRDX,73.7,2.3028273966521855,True,False,0.9203213153378289,3.804914937761129,4.134333166416375,8.684975708155847,8,589.6,5758.7,0.029480000000000003,0.287935
OMCL,70.0,1.727848482938515,True,False,0.9519309056068489,3.4954452584397493,3.671952699352091,11.57508901821439,11,770.0,6528.7,0.0385,0.326435
INGN,243.66,9.216229779724006,True,False,0.9106892661397622,3.3864077509908235,3.718510667579469,2.170084782825253,2,487.32,7016.0199999999995,0.024366,0.350801
REGI,27.25,1.0152266900701554,True,False,0.7064813205508186,3.378367517890782,4.781962975690267,19.700033692591294,19,517.75,7533.7699999999995,0.0258875,0.3766885
BEAT,61.45,2.0986267121958244,True,False,0.9567434004558166,3.3396849983719497,3.4906799427943165,9.530041661898844,9,553.0500000000001,8086.82,0.027652500000000003,0.404341
EPAY,71.28,1.7174302576187,True,False,0.958589593481665,3.215549327103424,3.3544588309417405,11.645305485493756,11,784.08,8870.9,0.039204,0.443545
TRHC,79.46,3.737783188288951,True,False,0.7978346035369027,3.14903996088268,3.946983431055238,5.350765144073383,5,397.29999999999995,9268.199999999999,0.019864999999999997,0.46341000000000004
COKE,178.57,4.6502620586713,True,False,0.9007797744395247,3.0308538241737266,3.364700130017415,4.300832888053305,4,714.28,9982.48,0.035713999999999996,0.499124
CBM,66.2,1.9117964692254905,True,False,0.8627998520474051,2.9675410643360793,3.4394315869366108,10.461364649398284,10,662.0,10644.48,0.0331,0.532224
TREX,79.05,2.433618510075428,True,False,0.8735541660830978,2.9290665313535684,3.353045117381923,8.218214940919443,8,632.4,11276.88,0.03162,0.563844
CTRL,34.58,1.1893590296779597,True,False,0.7757867174577939,2.9287955341827003,3.7752586739048404,16.81578018154481,16,553.28,11830.16,0.027663999999999998,0.591508
ATNI,70.4,1.7634628467845048,True,False,0.831630749609638,2.892869581360918,3.4785505258419223,11.341322011103305,11,774.4000000000001,12604.56,0.038720000000000004,0.630228
LGND,269.1,8.30017237652934,True,False,0.9461510234808693,2.805186895999576,2.9648405237457265,2.4095885112644932,2,538.2,13142.76,0.026910000000000003,0.657138
THRM,46.4,1.3142511019667669,True,False,0.9090808059127311,2.6178436478776135,2.8796600157554293,15.217792071903268,15,696.0,13838.76,0.0348,0.6919379999999999
JBT,119.6,2.9548881921945824,True,False,0.8742646341087675,2.5293657108305254,2.8931351128128173,6.768445605769634,6,717.5999999999999,14556.36,0.035879999999999995,0.727818
BELFB,26.25,1.234659081019214,True,False,0.8604968586427438,2.516906479609516,2.9249455757217016,16.198803627224734,16,420.0,14976.36,0.021,0.748818
IRDM,20.45,0.7528115551478827,True,False,0.8103495062180773,2.5117992988695046,3.0996493236506537,26.56707360990386,26,531.6999999999999,15508.060000000001,0.026584999999999998,0.775403
SPSC,95.2,2.251568205486096,True,False,0.8577022072469831,2.4095065179424093,2.8092576859238165,8.882697824240308,8,761.6,16269.660000000002,0.03808,0.813483
UEIC,38.9,1.3751573880238066,True,False,0.765089858720356,2.4065767207774993,3.1454824467319398,14.543789804846513,14,544.6,16814.260000000002,0.02723,0.8407129999999999
NMIH,23.8,0.7439451411821054,True,False,0.8054621442398188,2.390578932897464,2.96795938827597,26.88370269912729,26,618.8000000000001,17433.06,0.030940000000000002,0.8716529999999999
UVE,49.6,1.117400001213443,True,False,0.8396203762971287,2.3837824124342117,2.839119296922146,17.89869337594501,17,843.2,18276.260000000002,0.04216,0.9138129999999999
MCS,41.45,0.8603500439907613,True,False,0.8957287164060469,2.3393355660755586,2.6116563232021064,23.246352039722527,23,953.35,19229.61,0.0476675,0.9614804999999998
HLIT,5.4,0.1880098278845339,True,False,0.8507575202285356,2.3369863159514983,2.7469475853986256,106.37741773947575,106,572.4000000000001,19802.010000000002,0.028620000000000003,0.9901004999999998
USPH,116.95,3.333296677364987,True,False,0.8979009166846667,2.245578160564001,2.50091977726828,6.000065981468608,6,701.7,20503.710000000003,0.035085000000000005,1.0251854999999999
HF,43.13,1.017000912230103,True,False,0.7675206772501746,2.2406953139464023,2.9193940702343375,19.665665742760783,19,819.47,21323.180000000004,0.0409735,1.0661589999999999
NGVT,102.09,2.2315330019537476,True,False,0.8865397100521938,2.218677942062917,2.5026266921899025,8.962448676532965,8,816.72,22139.900000000005,0.040836000000000004,1.106995
STRA,135.5,3.135348394121306,True,False,0.9392592517139733,2.1465030743029256,2.2853148056683574,6.378876439217875,6,813.0,22952.900000000005,0.04065,1.147645
EHTH,27.93,1.2242058177999462,True,False,0.7994158904284429,2.145362816699823,2.6836629624037456,16.337122164590387,16,446.88,23399.780000000006,0.022344,1.169989
TTEK,67.775,1.3365753884020133,True,False,0.8962123789841717,2.126847713171352,2.3731514572272103,14.963615351253518,14,948.8500000000001,24348.630000000005,0.047442500000000006,1.2174315
CRY,35.1,0.8905378764639196,True,False,0.922864422080133,2.1039840350975387,2.279840878853219,22.458337290957783,22,772.2,25120.830000000005,0.038610000000000005,1.2560415
AIN,79.1,1.4786340502958955,True,False,0.8136982563500216,2.0953362649812695,2.575077737514454,13.525997183682954,13,1028.3,26149.130000000005,0.051414999999999995,1.3074565
FN,45.93,1.1470445172445465,True,False,0.8497843938536604,2.073508293157997,2.44004044808932,17.436114901664325,17,780.81,26929.940000000006,0.0390405,1.346497
AAON,37.95,0.9733213956090843,True,False,0.868804006849213,2.069095835260367,2.381544996280701,20.548197224704403,20,759.0,27688.940000000006,0.03795,1.384447
RGEN,53.65,1.247245836217692,True,False,0.9000443771453244,2.0486443191558825,2.2761592330075757,16.035331142616247,16,858.4,28547.340000000007,0.04292,1.427367
WDFC,171.95,3.2431193896412154,True,False,0.9268261698438692,2.0187090589943772,2.1780881082959103,6.16690216952284,6,1031.6999999999998,29579.040000000008,0.05158499999999999,1.478952
MNRO,72.0,1.8393427026962192,True,False,0.872910121372733,2.0167183709310437,2.3103390848069956,10.873449504914335,10,720.0,30299.040000000008,0.036,1.514952
NSP,116.75,2.8775612194082525,True,False,0.8568234193105971,2.011817901269716,2.347995929999709,6.950329975642652,6,700.5,30999.540000000008,0.035025,1.5499770000000002
ECOL,74.2,1.68448482385718,True,False,0.9613863798282127,2.004248922341346,2.084748613454956,11.873066302968196,11,816.2,31815.74000000001,0.04081,1.5907870000000002
WING,68.29,1.9514253632061525,True,False,0.7544932052808858,1.9945252174120145,2.6435297275732053,10.248918752977774,10,682.9000000000001,32498.64000000001,0.034145,1.6249320000000003
TCMD,69.44,2.717994994293204,True,False,0.7339164664042807,1.9916417099433512,2.7137171614381628,7.358365281022478,7,486.08,32984.72000000001,0.024304,1.6492360000000004
LHCG,100.99,2.3312381437355976,True,False,0.9016853685323685,1.9775309331217872,2.193149630830234,8.579132103574718,8,807.92,33792.64000000001,0.040396,1.6896320000000005
BMI,52.9,0.9816751794011938,True,False,0.8741852887364858,1.9485431803351976,2.2289818937030477,20.373337759440634,20,1058.0,34850.64000000001,0.0529,1.7425320000000004
LPSN,25.8,0.812913128827342,True,False,0.8125696255194672,1.9192263498410957,2.361922338180134,24.6028748838769,24,619.2,35469.840000000004,0.03096,1.7734920000000005
IPAR,64.35,1.3851088265610954,True,False,0.8808371499841328,1.901408106748663,2.1586375038597256,14.439298643165369,14,900.8999999999999,36370.740000000005,0.045044999999999995,1.8185370000000005
ALRM,56.81,1.8796603372683027,True,False,0.6682038194688489,1.8372527959896725,2.7495395004627383,10.640220258658998,10,568.1,36938.840000000004,0.028405,1.8469420000000005
PRA,46.75,0.8801569194523318,True,False,0.7222439503219431,1.8293073933666875,2.5328109602735562,22.723220778000343,22,1028.5,37967.340000000004,0.051425,1.8983670000000006
SCL,87.51,1.5360736820402756,True,False,0.898567902265797,1.804127238254562,2.0077806404005067,13.020208752899917,13,1137.63,39104.97,0.05688150000000001,1.9552485000000006
MYGN,45.97,1.5064823782111596,True,False,0.7902246727466902,1.8000130172801903,2.2778496791597798,13.275960136851102,13,597.61,39702.58,0.0298805,1.9851290000000006
ITGR,82.5,1.5810603869312925,True,False,0.8376448109279637,1.7554262322598548,2.0956689629762644,12.649738217031892,12,990.0,40692.58,0.0495,2.0346290000000007
MANT,63.3,1.5851593765162657,True,False,0.8544366262795886,1.7202504362341833,2.013315421325681,12.617027849877388,12,759.5999999999999,41452.18,0.03797999999999999,2.072609000000001
