,Adj_Close,atr,bullish,gap,r2,rank_score,slope
BFS,53.28,1.3896360615314929,False,False,0.6585671073196784,1.0700830357100166,1.6248655965603551
BGFV,5.2,0.24141426781849176,False,False,0.8926474625896552,0.1776839414377336,0.19905276033861743
BGG,19.55,0.4885749644410325,True,False,0.2796375328437969,0.3941099179355921,1.40935987357512
BGS,28.9,0.8974768391847547,False,False,0.35016304221122807,0.46921637642212133,1.3399940023912547
BHE,24.35,0.5828902928681724,False,False,0.4781411639979063,0.2966387639291436,0.6203999702699569
BHLB,40.9,0.7245692519620325,False,False,0.28587839374972057,0.32583710822005596,1.1397752168193525
BJRI,71.5,2.1322563715756546,True,True,0.8769515150406471,2.1867305268695256,2.4935592097907144
BKE,22.9,0.982141022131428,False,False,0.25104392205348736,0.18467340409119537,0.7356218887141546
BKS,5.65,0.30883241122510274,True,False,0.05666396144366004,0.048480934286100424,0.855586744218442
BLD,58.24,2.1409022787524097,False,False,0.8598902351643474,0.31302696455116785,0.3640313051017962
BMI,52.9,0.9816751794011938,True,False,0.8741852887364858,1.9485431803351976,2.2289818937030477
BNED,5.58,0.26732729652317805,False,False,0.29325251585226586,0.19155092883955338,0.6531944944542352
BOFI,34.89,0.9793456822759236,False,False,0.8014855331667854,0.45078308283325236,0.5624344597364636
BPFH,13.6,0.3060842985671289,False,False,0.8406373028751946,0.4155851169505944,0.4943691120167842
BRC,43.8,1.0816352939574472,True,False,0.20458779904639057,0.25811827887024746,1.2616504017999566
BRKL,16.95,0.32853299717887774,False,False,0.3609015844313662,0.3094017863116866,0.857302377320337
BRKS,33.79,1.4320653879105536,True,True,0.04036863593396023,0.04692769518514928,1.1624790904978592
BRS,12.09,0.4386638556783821,False,False,0.40431535874208946,0.18462109842094945,0.45662647838891085
CACI,184.25,3.713123416183025,True,False,0.8496805540812938,1.4344537888644966,1.6882271601654828
CAL,35.56,1.0782639339592939,True,False,0.22309108001604183,0.2711179262726877,1.2152790970091338
CALM,48.05,1.249087216611405,True,False,0.06727474570747405,0.07528986430305735,1.11914008014887
CAMP,22.55,0.45662295947765336,False,False,0.23648917455325025,0.2797976720781799,1.183130993656447
CASH,83.25,2.3857976875431044,False,True,0.9303159982336188,0.35700230784814174,0.38374305991295243
