,Adj_Close,atr,bullish,gap,r2,rank_score,slope
AAOI,32.72,1.9165427087453484,False,True,0.10291174521324743,0.07099328537225477,0.6898462874684208
AAON,39.85,0.9717773968322898,True,False,0.908019720901315,2.2865889932904784,2.518215123148177
AAT,37.59,0.5800556612403185,True,False,0.5926733993761992,0.7763537288568823,1.309918295091378
AAWW,63.35,1.640291419261913,False,False,0.6107547654133683,0.37180906152381155,0.6087698084061046
AAXN,64.79,2.539119146141582,True,False,0.20811789714280104,0.27154914605423436,1.3047851712047123
ABCB,48.29339207048458,1.0680837961278247,False,False,0.829163222957138,0.47011415567668285,0.566974200809416
ABG,72.25,1.4506961436505388,True,False,0.12085994609803119,0.13594572656355236,1.124820347456426
ABM,33.76,0.7855996255450858,True,False,0.6378910459308438,0.9340518793350642,1.4642812205837552
ACET,3.04,0.16438229767824963,False,False,0.009557467520629581,0.00867949081049221,0.9081370971711619
ACLS,20.35,0.7075157438956313,False,False,0.22546505574709175,0.18030621140461187,0.799708011545987
ACOR,18.2,1.3665211143697424,False,False,0.1405790427164172,0.08073027441514057,0.5742696269314734
ADC,52.91876288659794,0.9193135571769233,True,False,0.6394088566713512,0.8189387428555616,1.280774788010931
ADTN,18.6,0.44123003485264756,True,False,0.8196155002096739,1.5689070178674005,1.9141988133045837
AEGN,24.77,0.5505825917949825,False,False,0.649645269404179,0.5245546227804907,0.8074477680128188
AEIS,54.07,1.6331655041173754,False,False,0.6788444052719336,0.4177464652639681,0.6153788143788648
AEL,36.78,0.6604217678701175,True,False,0.26929111745973255,0.3464963129427706,1.286697891157077
AGYS,15.99,0.410219624622851,True,False,0.4787851763804891,0.7882086148606314,1.6462677913700579
AHH,14.687138964577658,0.253713413012571,False,False,0.6116748622454518,0.8372843497706397,1.368838906828667
AIN,78.2,1.477908208538732,True,False,0.803679919692238,2.0366668915802966,2.5341766562491945
AIR,44.91,1.1112419791031578,False,False,0.11396504500649206,0.10312402155613964,0.904874135312851
AIT,81.15,1.466272265526206,True,False,0.6930179034108048,0.9641200339890037,1.3911906593522676
AJRD,33.92,0.9689201558129461,True,False,0.688206285021142,1.4466436527728264,2.1020494643236
AKR,28.182291290206003,0.44738112680333036,True,False,0.6208721328579422,0.8922655300839041,1.437116409101353
AKS,4.74,0.16951094994432275,True,False,0.08991443267543109,0.07702455621337899,0.8566428538944202
