,Adj_Close,atr,bullish,gap,r2,rank_score,slope,shares,rounded_shares,cost,cumulative_cost,weight,cumulative_weight
ENDP,16.15,0.6018071042442268,True,False,0.9178738409795733,18.094392211270115,19.713376069155014,33.23324011788926,33,532.9499999999999,532.9499999999999,0.026647499999999998,0.026647499999999998
VSI,10.35,0.7849778356064524,True,False,0.828104181123843,13.017596893947987,15.719757478197305,25.4784263870948,25,258.75,791.6999999999999,0.0129375,0.039584999999999995
CORE,33.57,1.182683902000834,True,False,0.9072241294639327,7.205440089509964,7.942293260836843,16.91068929420999,16,537.12,1328.82,0.026856,0.066441
AVAV,108.85,4.107985757392741,True,False,0.9258153580977816,6.464439502554256,6.982428457264264,4.868566051868109,4,435.4,1764.2199999999998,0.021769999999999998,0.088211
FOXF,69.85,1.9031072238982585,True,False,0.9450852738261538,6.141281718096164,6.4981244424996065,10.509129359003062,10,698.5,2462.72,0.034925,0.123136
LXU,9.46,0.35437557010665566,True,False,0.8695935966302439,5.709200272457135,6.565366045220224,56.437298976282825,56,529.76,2992.4799999999996,0.026488,0.149624
AMED,122.1,3.3689509472112023,True,False,0.9410703562905351,4.818474604318296,5.1202065521556985,5.936566104221815,5,610.5,3602.9799999999996,0.030525,0.180149
HMSY,32.43,0.7088567254279431,True,False,0.8812977475293349,3.982457827451178,4.518856241963353,28.214446280277333,28,908.04,4511.0199999999995,0.045402,0.225551
MRCY,54.84,1.5830449335644854,True,False,0.9097292580829184,3.9182118917978244,4.307008768800854,12.63388017355055,12,658.08,5169.099999999999,0.032904,0.258455
SRDX,73.7,2.3028273966521855,True,False,0.9203213153378289,3.804914937761129,4.134333166416375,8.684975708155847,8,589.6,5758.7,0.029480000000000003,0.287935
OMCL,70.0,1.727848482938515,True,False,0.9519309056068489,3.4954452584397493,3.671952699352091,11.57508901821439,11,770.0,6528.7,0.0385,0.326435
INGN,243.66,9.216229779724006,True,False,0.9106892661397622,3.3864077509908235,3.718510667579469,2.170084782825253,2,487.32,7016.0199999999995,0.024366,0.350801
REGI,27.25,1.0152266900701554,True,False,0.7064813205508186,3.378367517890782,4.781962975690267,19.700033692591294,19,517.75,7533.7699999999995,0.0258875,0.3766885
BEAT,61.45,2.0986267121958244,True,False,0.9567434004558166,3.3396849983719497,3.4906799427943165,9.530041661898844,9,553.0500000000001,8086.82,0.027652500000000003,0.404341
EPAY,71.28,1.7174302576187,True,False,0.958589593481665,3.215549327103424,3.3544588309417405,11.645305485493756,11,784.08,8870.9,0.039204,0.443545
TRHC,79.46,3.737783188288951,True,False,0.7978346035369027,3.14903996088268,3.946983431055238,5.350765144073383,5,397.29999999999995,9268.199999999999,0.019864999999999997,0.46341000000000004
COKE,178.57,4.6502620586713,True,False,0.9007797744395247,3.0308538241737266,3.364700130017415,4.300832888053305,4,714.28,9982.48,0.035713999999999996,0.499124
CBM,66.2,1.9117964692254905,True,False,0.8627998520474051,2.9675410643360793,3.4394315869366108,10.461364649398284,10,662.0,10644.48,0.0331,0.532224
TREX,79.05,2.433618510075428,True,False,0.8735541660830978,2.9290665313535684,3.353045117381923,8.218214940919443,8,632.4,11276.88,0.03162,0.563844
CTRL,34.58,1.1893590296779597,True,False,0.7757867174577939,2.9287955341827003,3.7752586739048404,16.81578018154481,16,553.28,11830.16,0.027663999999999998,0.591508
ATNI,70.4,1.7634628467845048,True,False,0.831630749609638,2.892869581360918,3.4785505258419223,11.341322011103305,11,774.4000000000001,12604.56,0.038720000000000004,0.630228
LGND,269.1,8.30017237652934,True,False,0.9461510234808693,2.805186895999576,2.9648405237457265,2.4095885112644932,2,538.2,13142.76,0.026910000000000003,0.657138
THRM,46.4,1.3142511019667669,True,False,0.9090808059127311,2.6178436478776135,2.8796600157554293,15.217792071903268,15,696.0,13838.76,0.0348,0.6919379999999999
JBT,119.6,2.9548881921945824,True,False,0.8742646341087675,2.5293657108305254,2.8931351128128173,6.768445605769634,6,717.5999999999999,14556.36,0.035879999999999995,0.727818
BELFB,26.25,1.234659081019214,True,False,0.8604968586427438,2.516906479609516,2.9249455757217016,16.198803627224734,16,420.0,14976.36,0.021,0.748818
IRDM,20.45,0.7528115551478827,True,False,0.8103495062180773,2.5117992988695046,3.0996493236506537,26.56707360990386,26,531.6999999999999,15508.060000000001,0.026584999999999998,0.775403
SPSC,95.2,2.251568205486096,True,False,0.8577022072469831,2.4095065179424093,2.8092576859238165,8.882697824240308,8,761.6,16269.660000000002,0.03808,0.813483
UEIC,38.9,1.3751573880238066,True,False,0.765089858720356,2.4065767207774993,3.1454824467319398,14.543789804846513,14,544.6,16814.260000000002,0.02723,0.8407129999999999
NMIH,23.8,0.7439451411821054,True,False,0.8054621442398188,2.390578932897464,2.96795938827597,26.88370269912729,26,618.8000000000001,17433.06,0.030940000000000002,0.8716529999999999
UVE,49.6,1.117400001213443,True,False,0.8396203762971287,2.3837824124342117,2.839119296922146,17.89869337594501,17,843.2,18276.260000000002,0.04216,0.9138129999999999
MCS,41.45,0.8603500439907613,True,False,0.8957287164060469,2.3393355660755586,2.6116563232021064,23.246352039722527,23,953.35,19229.61,0.0476675,0.9614804999999998
HLIT,5.4,0.1880098278845339,True,False,0.8507575202285356,2.3369863159514983,2.7469475853986256,106.37741773947575,106,572.4000000000001,19802.010000000002,0.028620000000000003,0.9901004999999998
USPH,116.95,3.333296677364987,True,False,0.8979009166846667,2.245578160564001,2.50091977726828,6.000065981468608,1.0,116.95,19918.960000000003,0.035085000000000005,1.0251854999999999
